venue,asset,kind,instrument,expiry,strike,cp,bid_coin,ask_coin,mark_coin,bid_usd,ask_usd,mark_iv,underlying,open_interest,volume,delta,vega,gamma,theta,funding_8h
deribit,BTC,option,BTC-5AUG26-63500-C,5AUG26,63500,C,0.0095,0.011,0.01007065,605.88093,701.54634,29.18,63758.56,6.1,7.3,0.59533,16.77655,0.00031,-145.63444,
deribit,BTC,option,BTC-26MAR27-55000-P,26MAR27,55000,P,0.0625,0.0645,0.06379929,3986.05875,4113.6126300000005,43.96,65502.21,1353.8,0.0,,,,,
deribit,BTC,option,BTC-25JUN27-150000-C,25JUN27,150000,C,0.005,0.006,0.0055077,318.8847,382.66164000000003,43.74,66250.16,88.4,0.4,,,,,
deribit,BTC,option,BTC-25SEP26-58000-C,25SEP26,58000,C,0.113,0.118,0.11642674,7206.794220000001,7525.67892,38.71,64160.31,460.8,0.0,,,,,
deribit,BTC,option,BTC-5AUG26-64000-C,5AUG26,64000,C,0.0055,0.0065,0.00588912,350.77317,414.55011,28.16,63758.56,20.1,18.1,0.43605,17.04967,0.00032,-142.78821,
deribit,BTC,option,BTC-30OCT26-54000-C,30OCT26,54000,C,0.1805,0.184,0.1823848,11511.73767,11734.95696,42.32,64404.81,0.0,0.0,,,,,
deribit,BTC,option,BTC-28AUG26-59000-P,28AUG26,59000,P,0.01,0.011,0.01074795,637.7694,701.54634,37.39,63923.11,840.3,13.4,,,,,
deribit,BTC,option,BTC-5AUG26-57000-C,5AUG26,57000,C,0.074,0.138,0.10610566,4719.49356,8801.21772,68.93,63758.1,0.0,0.0,0.99256,0.89077,1e-05,-18.25994,
deribit,BTC,option,BTC-30OCT26-82000-P,30OCT26,82000,P,0.277,0.2855,0.28028083,17666.21238,18208.31637,35.15,64404.81,0.0,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-106000-P,26MAR27,106000,P,0.6265,0.636,0.63027443,39956.252909999996,40562.13384,40.15,65502.21,0.1,0.0,,,,,
deribit,BTC,option,BTC-4AUG26-62500-P,4AUG26,62500,P,0.0005,0.0007,0.00052209,31.88847,44.643858,32.86,63749.12,124.5,122.2,-0.07416,3.86753,0.00015,-29.67728,
deribit,BTC,option,BTC-4AUG26-68000-P,4AUG26,68000,P,0.031,0.105,0.06668095,1977.0851400000001,6696.5787,36.11,63749.12,0.0,0.0,-0.99998,0.00256,0.0,-0.04628,
deribit,BTC,option,BTC-28AUG26-105000-C,28AUG26,105000,C,,0.0001,7.719e-05,0.0,6.377694000000001,63.37,63923.11,169.2,0.5,,,,,
deribit,BTC,option,BTC-25SEP26-300000-P,25SEP26,300000,P,3.518,3.845,3.67580258,224367.27492,245222.33430000002,84.97,64160.31,0.0,0.0,,,,,
deribit,BTC,option,BTC-28AUG26-48000-C,28AUG26,48000,C,0.2465,0.2525,0.25020791,15721.01571,16103.67735,55.51,63923.28,37.5,0.0,,,,,
deribit,BTC,option,BTC-30OCT26-54000-P,30OCT26,54000,P,0.0205,0.0215,0.02084413,1307.4272700000001,1371.2042099999999,42.32,64404.81,6.6,0.5,,,,,
deribit,BTC,option,BTC-25DEC26-210000-P,25DEC26,210000,P,2.1295,2.358,2.23893288,135812.99373000002,150386.02452,58.2,64838.53,0.0,0.0,,,,,
deribit,BTC,option,BTC-25SEP26-35000-P,25SEP26,35000,P,0.0011,0.0013,0.0011881,70.154634,82.910022,74.43,64160.31,895.9,0.5,,,,,
deribit,BTC,option,BTC-25SEP26-64000-P,25SEP26,64000,P,0.051,0.052,0.05129032,3252.62394,3316.40088,34.73,64160.31,607.8,0.2,,,,,
deribit,BTC,option,BTC-4AUG26-64500-C,4AUG26,64500,C,0.0007,0.001,0.0008342,44.643858,63.77694,25.67,63749.12,135.3,99.4,0.16023,6.71161,0.00034,-60.46201,
deribit,BTC,option,BTC-25SEP26-135000-P,25SEP26,135000,P,1.033,1.1825,1.10428275,65881.57901999999,75416.23155000001,66.59,64160.17,11.5,0.0,,,,,
deribit,BTC,option,BTC-28AUG26-56000-P,28AUG26,56000,P,0.005,0.006,0.00540563,318.8847,382.66164000000003,41.59,63923.11,1059.5,126.3,,,,,
deribit,BTC,option,BTC-25DEC26-80000-C,25DEC26,80000,C,0.027,0.0275,0.02747123,1721.97738,1753.8658500000001,38.04,64838.8,8050.4,26.4,,,,,
deribit,BTC,option,BTC-25DEC26-105000-P,25DEC26,105000,P,0.619,0.631,0.62294006,39477.92586,40243.24914,40.41,64838.8,109.4,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-200000-P,25DEC26,200000,P,1.981,2.1985,2.0847697,126342.11814,140213.60259000002,58.2,64838.53,0.0,0.0,,,,,
deribit,BTC,option,BTC-4AUG26-61500-C,4AUG26,61500,C,0.013,0.0685,0.03553131,829.10022,4368.72039,45.27,63749.12,0.0,0.0,0.97025,1.86256,5e-05,-42.16402,
deribit,BTC,option,BTC-30OCT26-64000-P,30OCT26,64000,P,0.068,0.0695,0.06876574,4336.8319200000005,4432.49733,36.92,64404.81,10.1,0.0,,,,,
deribit,BTC,option,BTC-30OCT26-75000-C,30OCT26,75000,C,0.018,0.019,0.01886908,1147.9849199999999,1211.76186,34.93,64404.81,19.0,4.6,,,,,
deribit,BTC,option,BTC-5AUG26-63000-C,5AUG26,63000,C,0.013,0.017,0.01546566,829.10022,1084.2079800000001,30.45,63758.56,115.2,114.1,0.73062,14.29859,0.00025,-129.47321,
deribit,BTC,option,BTC-25DEC26-170000-P,25DEC26,170000,P,1.5335,1.719,1.62215172,97801.93749000001,109632.55986000001,52.28,64838.7,0.0,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-60000-C,26MAR27,60000,C,0.174,0.1765,0.17551086,11097.18756,11256.62991,42.38,65502.21,718.9,0.0,,,,,
deribit,BTC,option,BTC-28AUG26-63000-C,28AUG26,63000,C,0.041,0.0425,0.04184278,2614.8545400000003,2710.5199500000003,33.15,63923.28,979.8,97.9,,,,,
deribit,BTC,option,BTC-21AUG26-68000-C,21AUG26,68000,C,0.0055,0.006,0.00586791,350.77317,382.66164000000003,29.28,63881.99,1336.1,221.9,0.1751,36.26366,6e-05,-30.0314,
deribit,BTC,option,BTC-30OCT26-85000-C,30OCT26,85000,C,0.0045,0.0049,0.0047051,286.99622999999997,312.507006,35.52,64404.81,3.3,0.9,,,,,
deribit,BTC,option,BTC-30OCT26-66000-P,30OCT26,66000,P,0.084,0.0855,0.0848428,5357.262960000001,5452.9283700000005,36.31,64404.81,3.1,2.0,,,,,
deribit,BTC,option,BTC-7AUG26-68000-P,7AUG26,68000,P,0.0305,0.1055,0.06652013,1945.19667,6728.46717,33.96,63783.71,6.2,0.0,-0.96791,4.60975,3e-05,-21.25679,
deribit,BTC,option,BTC-25DEC26-72000-C,25DEC26,72000,C,0.054,0.0555,0.05492343,3443.95476,3539.62017,38.24,64838.8,1134.7,0.1,,,,,
deribit,BTC,option,BTC-25SEP26-78000-C,25SEP26,78000,C,0.0034,0.0036,0.00355507,216.841596,229.596984,33.03,64160.31,4495.0,70.6,,,,,
deribit,BTC,option,BTC-25DEC26-40000-P,25DEC26,40000,P,0.01,0.011,0.0105494,637.7694,701.54634,55.96,64838.8,4319.5,593.9,,,,,
deribit,BTC,option,BTC-25DEC26-135000-C,25DEC26,135000,C,0.0007,0.0008,0.00083373,44.643858,51.02155200000001,46.71,64838.8,1099.8,2.1,,,,,
deribit,BTC,option,BTC-6AUG26-64000-P,6AUG26,64000,P,0.0115,0.0125,0.01207699,733.43481,797.21175,29.63,63768.39,0.1,0.1,-0.54547,21.67096,0.00024,-119.77811,
deribit,BTC,option,BTC-4AUG26-63000-P,4AUG26,63000,P,0.0011,0.0014,0.00120412,70.154634,89.287716,29.45,63749.12,30.8,19.9,-0.16234,6.76911,0.0003,-68.89572,
deribit,BTC,option,BTC-7AUG26-64000-C,7AUG26,64000,C,0.0105,0.0115,0.01085377,669.6578700000001,733.43481,31.09,63783.84,686.6,9.2,0.4671,25.47593,0.0002,-107.57384,
deribit,BTC,option,BTC-5AUG26-67000-P,5AUG26,67000,P,0.016,0.089,0.05097718,1020.43104,5676.14766,33.33,63758.56,0.0,0.0,-0.98452,1.68427,3e-05,-16.6968,
deribit,BTC,option,BTC-28AUG26-66000-P,28AUG26,66000,P,0.0505,0.053,0.05159334,3220.7354700000005,3380.17782,31.15,63923.28,233.1,0.0,,,,,
deribit,BTC,option,BTC-30OCT26-76000-C,30OCT26,76000,C,0.016,0.017,0.01646992,1020.43104,1084.2079800000001,34.94,64404.81,17.5,2.5,,,,,
deribit,BTC,option,BTC-25DEC26-104000-P,25DEC26,104000,P,0.551,0.674,0.60781036,35141.093940000006,42985.65756000001,40.31,64838.7,0.1,0.0,,,,,
deribit,BTC,option,BTC-7AUG26-66000-P,7AUG26,66000,P,0.0345,0.041,0.03673256,2200.30443,2614.8545400000003,30.07,63783.84,61.0,1.2,-0.86556,13.87256,0.00011,-56.64491,
deribit,BTC,option,BTC-4AUG26-56000-C,4AUG26,56000,C,0.09,0.151,0.12155693,5739.9246,9630.31794,66.15,63749.12,0.0,0.0,1.0,0.00031,0.0,-0.01035,
deribit,BTC,option,BTC-25JUN27-68000-P,25JUN27,68000,P,0.172,0.175,0.172965,10969.633679999999,11160.9645,42.03,66250.16,8.1,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-85000-P,25DEC26,85000,P,0.3255,0.3335,0.3284519,20759.39397,21269.609490000003,38.09,64838.8,548.4,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-84000-P,25DEC26,84000,P,0.312,0.3175,0.31467078,19898.40528,20249.17845,38.06,64838.8,47.1,0.0,,,,,
deribit,BTC,option,BTC-30OCT26-70000-C,30OCT26,70000,C,0.036,0.0375,0.03679656,2295.9698399999997,2391.63525,35.38,64404.81,38.5,0.2,,,,,
deribit,BTC,option,BTC-30OCT26-86000-C,30OCT26,86000,C,0.004,0.0043,0.00415414,255.10776,274.240842,35.73,64404.81,5.7,1.8,,,,,
deribit,BTC,option,BTC-25SEP26-84000-P,25SEP26,84000,P,0.3065,0.3165,0.31062306,19547.63211,20185.40151,35.85,64160.31,34.7,0.0,,,,,
deribit,BTC,option,BTC-4AUG26-57000-C,4AUG26,57000,C,0.073,0.1355,0.10587055,4655.71662,8641.775370000001,63.13,63749.12,0.0,0.0,0.99998,0.00205,0.0,-0.06469,
deribit,BTC,option,BTC-26MAR27-180000-P,26MAR27,180000,P,1.655,1.854,1.74905081,105550.83570000001,118242.44676,49.28,65502.21,0.0,0.0,,,,,
deribit,BTC,option,BTC-25JUN27-72000-C,25JUN27,72000,C,0.121,0.1235,0.12253994,7717.00974,7876.45209,41.55,66250.16,13.9,0.1,,,,,
deribit,BTC,option,BTC-14AUG26-68000-C,14AUG26,68000,C,0.0022,0.0026,0.00240756,140.309268,165.820044,28.86,63828.84,1770.5,704.8,0.10507,19.86828,6e-05,-26.83699,
deribit,BTC,option,BTC-14AUG26-59000-P,14AUG26,59000,P,0.0035,0.004,0.0037561,223.21929,255.10776,39.01,63828.84,3.7,1.7,-0.11192,20.7937,4e-05,-37.96693,
deribit,BTC,option,BTC-25JUN27-110000-P,25JUN27,110000,P,0.679,0.6885,0.68229279,43304.54226,43910.42319,40.97,66250.16,0.3,0.0,,,,,
deribit,BTC,option,BTC-25SEP26-150000-C,25SEP26,150000,C,,0.0002,9.116e-05,0.0,12.755388000000002,70.97,64160.17,736.7,0.0,,,,,
deribit,BTC,option,BTC-7AUG26-62000-P,7AUG26,62000,P,0.004,0.0045,0.00428173,255.10776,286.99622999999997,35.58,63783.84,1386.7,98.7,-0.20596,18.25654,0.00012,-88.23782,
deribit,BTC,option,BTC-25SEP26-165000-P,25SEP26,165000,P,1.485,1.6655,1.57172081,94708.7559,106220.49357,71.81,64160.31,0.0,0.0,,,,,
deribit,BTC,option,BTC-25SEP26-60000-C,25SEP26,60000,C,0.091,0.0945,0.09292498,5803.70154,6026.92083,37.19,64160.31,933.3,0.2,,,,,
deribit,BTC,option,BTC-25SEP26-110000-P,25SEP26,110000,P,0.7095,0.7225,0.7147121,45249.73893,46078.83915000001,52.06,64160.31,116.1,0.0,,,,,
deribit,BTC,option,BTC-21AUG26-60000-C,21AUG26,60000,C,0.0665,0.072,0.07005341,4241.16651,4591.9396799999995,35.88,63881.99,0.0,0.0,0.79835,39.56434,6e-05,-40.13781,
deribit,BTC,option,BTC-28AUG26-66000-C,28AUG26,66000,C,0.0185,0.02,0.01910969,1179.87339,1275.5388,31.15,63923.28,1451.2,155.4,,,,,
deribit,BTC,option,BTC-25DEC26-130000-C,25DEC26,130000,C,0.0008,0.0011,0.00094945,51.02155200000001,70.154634,45.35,64838.7,1571.3,0.0,,,,,
deribit,BTC,option,BTC-4AUG26-60000-P,4AUG26,60000,P,,0.0001,0.00010876,0.0,6.377694000000001,62.21,63749.12,181.1,207.8,-0.01095,0.79481,2e-05,-6.40224,
deribit,BTC,option,BTC-14AUG26-64000-P,14AUG26,64000,P,0.0215,0.023,0.02246082,1371.2042099999999,1466.86962,30.87,63828.84,117.0,24.4,-0.50768,43.564,0.00012,-62.94136,
deribit,BTC,option,BTC-25SEP26-240000-C,25SEP26,240000,C,,0.0002,2e-07,0.0,12.755388000000002,75.03,64160.31,220.1,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-92000-C,26MAR27,92000,C,0.026,0.0275,0.02665861,1658.20044,1753.8658500000001,39.35,65502.21,127.3,0.0,,,,,
deribit,BTC,option,BTC-25JUN27-58000-P,25JUN27,58000,P,0.0985,0.1015,0.09996471,6282.028590000001,6473.359410000001,44.04,66250.16,15.5,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-96000-P,26MAR27,96000,P,0.4835,0.4915,0.48665763,30836.15049,31346.36601,39.52,65502.21,1.6,0.0,,,,,
deribit,BTC,option,BTC-30OCT26-88000-C,30OCT26,88000,C,0.0031,0.0035,0.00325542,197.708514,223.21929,36.18,64404.81,2.2,1.2,,,,,
deribit,BTC,option,BTC-28AUG26-64000-P,28AUG26,64000,P,0.0335,0.0345,0.03421253,2136.5274900000004,2200.30443,32.39,63923.28,674.9,11.1,,,,,
deribit,BTC,option,BTC-6AUG26-67000-P,6AUG26,67000,P,0.0165,0.0895,0.05102252,1052.31951,5708.03613,30.99,63768.39,0.0,0.0,-0.96626,4.09976,4e-05,-23.684,
deribit,BTC,option,BTC-30OCT26-62000-C,30OCT26,62000,C,0.0905,0.093,0.09232001,5771.81307,5931.25542,37.65,64404.81,13.5,0.0,,,,,
deribit,BTC,option,BTC-25SEP26-115000-P,25SEP26,115000,P,0.7875,0.8015,0.7925716,50224.34025,51117.217410000005,54.09,64160.31,90.9,0.0,,,,,
deribit,BTC,option,BTC-25JUN27-74000-C,25JUN27,74000,C,0.1105,0.113,0.11192418,7047.35187,7206.794220000001,41.37,66250.16,13.3,0.6,,,,,
deribit,BTC,option,BTC-6AUG26-70000-C,6AUG26,70000,C,,0.0001,4.521e-05,0.0,6.377694000000001,40.98,63768.39,0.5,0.5,0.00431,0.69219,1e-05,-3.0677,
deribit,BTC,option,BTC-25JUN27-68000-C,25JUN27,68000,C,0.145,0.1475,0.14655641,9247.6563,9407.09865,42.03,66250.16,9.8,0.3,,,,,
deribit,BTC,option,BTC-4AUG26-63500-P,4AUG26,63500,P,0.0026,0.0032,0.00301759,165.820044,204.08620800000003,27.42,63749.12,27.2,9.6,-0.3483,10.18949,0.00049,-139.68039,
deribit,BTC,option,BTC-4AUG26-62000-P,4AUG26,62000,P,0.0003,0.0005,0.00035916,19.133081999999998,31.88847,39.39,63749.12,405.6,486.6,-0.04648,2.68115,9e-05,-20.66251,
deribit,BTC,option,BTC-25SEP26-75000-C,25SEP26,75000,C,0.006,0.007,0.00659427,382.66164000000003,446.43858,32.57,64160.31,3512.4,13.3,,,,,
deribit,BTC,option,BTC-5AUG26-57000-P,5AUG26,57000,P,,0.0002,0.0001222,0.0,12.755388000000002,68.93,63758.1,16.7,1.2,-0.00749,0.89619,1e-05,-7.40922,
deribit,BTC,option,BTC-28AUG26-83000-P,28AUG26,83000,P,0.2545,0.347,0.29872387,16231.231230000001,22130.59818,41.18,63923.11,0.1,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-65000-P,26MAR27,65000,P,0.1255,0.128,0.12663926,8004.00597,8163.44832,41.12,65502.21,664.8,25.0,,,,,
